danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,time_signature,file,label
1.241,0.2311721,1,1.5961186431019998,0.9822544,0.14104275,0.017745592,1.0,118.08989482895258,SpotifyMate.com - hate u love u - Olivia O_Brien.wav,sad
0.9204319,0.17663966,10,1.7648612455881798,0.99344915,0.087840885,0.006550859,1.0,105.44659055407264,Falling Apart.wav,sad
0.7715864,0.11734578,4,1.0057420644400932,0.99851924,1.8258736,0.0014807672,1.0,141.22589680060327,To Build A Home.wav,sad
1.6487577,0.21325271,2,2.132813150058059,0.988947,0.06392721,0.011053033,1.0,130.0977653631285,Everybody Dies In Their Nightmares.wav,sad
2.5046725,0.120424025,7,2.5433526346224156,0.9729346,0.08650323,0.027065404,1.0,126.38192890089077,SpotifyMate.com - Jocelyn Flores - XXXTENTACION.wav,sad
0.9908421,0.07029694,0,1.695045076721299,0.98694795,0.45214418,0.013052064,1.0,114.88996674644696,SpotifyMate.com - my tears ricochet - Taylor Swift.wav,sad
0.9110799,0.14210027,7,1.2642157197647705,0.9942995,0.100706,0.0057005286,1.0,126.34500672040522,SpotifyMate.com - THE GREATEST - Billie Eilish.wav,sad
0.90419686,0.18332285,9,2.535365997754283,0.9796988,0.07635912,0.020301249,1.0,103.0601453929578,SpotifyMate.com - Chasing Cars - Snow Patrol.wav,sad
1.230846,0.20260935,1,1.4453209403495775,0.99102074,-0.0039113536,0.008979263,1.0,137.758084124774,SpotifyMate.com - If the World Was Ending _feat. Julia Michaels_ - JP Saxe.wav,sad
0.92704684,0.19621679,7,1.7425811583904116,0.9944712,0.07988289,0.005528781,1.0,144.30559836862446,SpotifyMate.com - traitor - Olivia Rodrigo.wav,sad
1.642376,0.1950027,11,1.6619937578156028,0.9888246,0.03568727,0.011175398,1.0,105.4122604719516,SpotifyMate.com - Can I Be Him - James Arthur.wav,sad
1.1257374,0.20651259,5,1.3513190611470556,0.99211174,0.045804657,0.0078882845,1.0,147.69553072625698,No Surprises.wav,sad
0.92734265,0.13572094,0,1.5275375356937122,0.9894335,1.3190079,0.0105664525,1.0,114.65358192621282,SpotifyMate.com - Not About Angels - Birdy.wav,sad
1.3111254,0.15732747,9,1.9357270854132207,0.9821784,1.0160978,0.017821582,1.0,92.52752797506514,SpotifyMate.com - Star Shopping - Lil Peep.wav,sad
1.0562117,0.22945392,1,2.4646671858035103,0.9795975,0.3037653,0.020402463,1.0,104.37507494808858,SpotifyMate.com - Me Soltaste - Jesse _ Joy.wav,sad
1.0228369,0.20533895,4,1.6346456288842854,0.98649275,0.118032366,0.013507247,1.0,97.04712355412275,SpotifyMate.com - Falling - Harry Styles.wav,sad
1.44398,0.13625565,1,1.4438852555836101,0.9864536,0.021798115,0.013546406,1.0,132.4116655779025,SpotifyMate.com - i hate u_ i love u _feat. olivia o_brien_ - gnash.wav,sad
0.8293729,0.1518056,3,0.80613696654704,0.9993151,0.0044212053,0.00068491796,1.0,129.13462240673223,Lights Are On.wav,sad
1.9149215,0.2527478,2,0.6242291479289038,0.99753433,0.0091086,0.0024656877,1.0,108.52532723209535,everything i wanted.wav,sad
1.1819642,0.15451804,9,1.7600457221457761,0.99477386,0.023182454,0.005226155,1.0,116.19264752847663,SpotifyMate.com - favorite crime - Olivia Rodrigo.wav,sad
1.3214488,0.22276592,10,2.1487116732020564,0.98670924,-0.06938731,0.013290753,1.0,140.02781301098767,I Love You So.wav,sad
1.1115422,0.17081907,5,1.527649369207649,0.9882518,-2.3592389,0.0117481975,1.0,110.6672361013261,SpotifyMate.com - that way - Tate McRae.wav,sad
1.4324042,0.12218094,7,0.8348607946424677,0.9982508,1.379474,0.0017491959,1.0,131.88508064516128,rises the moon.wav,sad
1.1235397,0.13020903,5,1.3524851437805216,0.99439895,0.17810296,0.0056010527,1.0,138.54378271709828,Arcade.wav,sad
1.3558056,0.19566327,4,1.6678596976830562,0.9938079,-2.558207,0.0061921105,1.0,109.5689925544221,Bruises.wav,sad
1.514482,0.21329996,11,1.4266783971546926,0.9872771,0.15087833,0.012722915,1.0,142.920380064133,Dancing With Your Ghost.wav,sad
0.7821489,0.10603276,5,0.933908806950978,0.9980254,0.026813606,0.0019746032,1.0,133.66145501750756,SpotifyMate.com - i love you - Billie Eilish.wav,sad
1.0743799,0.23145555,6,1.9399921617702842,0.9851282,0.06457711,0.0148717845,1.0,107.86595299045845,Atlantis.wav,sad
1.3956374,0.1804932,6,1.4889421219960501,0.97868717,0.033474106,0.021312814,1.0,132.4748233324305,SpotifyMate.com - Supermarket Flowers - Ed Sheeran.wav,sad
1.4202127,0.20050643,1,1.7692769593683317,0.9866811,-0.0016298095,0.013318911,1.0,158.89901276722088,happier.wav,sad
1.2323828,0.30353963,3,1.7412812941050486,0.98732436,-0.009228423,0.012675672,1.0,108.48523251578438,Before You Go.wav,sad
1.7324836,0.21996537,11,1.8209295709146471,0.9890686,0.004284427,0.010931368,1.0,126.86897231963927,SpotifyMate.com - Chamber Of Reflection - Mac DeMarco.wav,sad
1.0914351,0.1881907,6,1.3660533743849996,0.9916005,0.049828503,0.008399493,1.0,134.08783783783784,SpotifyMate.com - Cinnamon Girl - Lana Del Rey.wav,sad
1.0024384,0.19069992,1,1.3347470763926303,0.9852294,0.041006166,0.014770628,1.0,132.84122084492628,SpotifyMate.com - Oceans _ Engines - NIKI.wav,sad
1.7621933,0.16599602,0,1.4974850880906592,0.99247885,0.014550132,0.007521167,1.0,119.49710287402145,SpotifyMate.com - the remedy for a broken heart _why am I so in love_ - XXXTENTACION.wav,sad
1.2269222,0.24175042,11,2.2448283111786713,0.97880906,0.009883051,0.021190913,1.0,121.5794986035377,Be Alright.wav,sad
1.2009628,0.24167474,3,1.3675324164291,0.9868575,-0.00029252208,0.0131425485,1.0,110.36433867774372,SpotifyMate.com - Don_t Give Up On Me - Andy Grammer.wav,sad
1.2829673,0.17826584,7,1.145685096957074,0.9947808,0.028229553,0.005219203,1.0,116.78954321581425,SpotifyMate.com - Bored - Billie Eilish.wav,sad
1.5101986,0.27073762,7,1.0855616651178879,0.99000585,0.034674108,0.009994145,1.0,106.54676673597041,SpotifyMate.com - Matilda - Harry Styles.wav,sad
1.968911,0.17915466,9,1.7195143240042463,0.994347,-0.00317589,0.005653004,1.0,67.64611293700533,July.wav,sad
0.92779094,0.10646517,2,1.7721450844739663,0.9893386,0.06305773,0.010661434,1.0,133.3863402012943,SpotifyMate.com - Say Something - A Great Big World.wav,sad
1.0457032,0.27399397,6,2.311947826227805,0.97997063,0.047981244,0.020029379,1.0,133.83804446011146,SpotifyMate.com - Dueles - Jesse _ Joy.wav,sad
1.2079296,0.20260997,5,1.8926055544317015,0.99089164,0.02787213,0.009108387,1.0,137.390059478613,The Scientist.wav,sad
1.451572,0.1640795,1,1.3638279258855197,0.9829632,0.068162024,0.017036788,1.0,150.1269847132371,SpotifyMate.com - IDK You Yet - Alexander 23.wav,sad
0.8133069,0.16734783,9,1.6192672346861634,0.9829476,-0.321552,0.017052423,1.0,156.265008979285,SpotifyMate.com - The Night We Met - Lord Huron.wav,sad
0.8175211,0.15517785,10,0.9278376122113332,0.99838674,0.11827033,0.0016132361,1.0,103.16942827399853,SpotifyMate.com - Rosyln - Bon Iver.wav,sad
1.7018181,0.29108182,8,1.601985054450501,0.98080146,0.046063688,0.019198528,1.0,145.20583853870303,SpotifyMate.com - Let Me Down Slowly - Alec Benjamin.wav,sad
1.0632627,0.16666313,5,1.5253254298906078,0.9952161,-0.50517243,0.0047839317,1.0,123.91095688127582,Romantic Homicide.wav,sad
1.7455245,0.17835195,7,2.1284755638844364,0.9813285,0.07408095,0.018671535,1.0,127.09444787003028,SpotifyMate.com - Noviembre Sin Ti - Reik.wav,sad
1.0559713,0.12438737,8,0.92512034474046,0.99887615,0.021328425,0.001123838,1.0,135.13181094300992,SpotifyMate.com - It_s Ok - Tom Rosenthal.wav,sad
1.678887,0.28181463,1,1.0395622154114514,0.9955938,0.020994995,0.004406189,1.0,103.6670140451434,SpotiDownloader.com - Motion Sickness - Phoebe Bridgers.wav,fearful
1.413644,0.19769962,1,2.2122836715393843,0.9761349,0.012371114,0.023865074,1.0,98.02437643223448,SpotiDownloader.com - Taking What's Not Yours - TV Girl.wav,fearful
0.6555619,0.16852824,6,1.1286520187008742,0.9931465,0.12985224,0.006853547,1.0,98.50327408793265,How to Disappear Completely.wav,fearful
1.4356996,0.2600918,2,0.8345092662845238,0.98865616,0.00774204,0.011343832,1.0,103.50168982350732,Die Your Daughter.wav,fearful
1.2174827,0.35214096,3,0.9079618091121374,0.99613124,0.3134413,0.003868757,1.0,84.29926238145417,The Blonde.wav,fearful
2.5451283,0.17757855,6,2.58136076748638,0.9635023,-0.13679443,0.036497686,1.0,116.35383214737043,Nasty Dog.wav,fearful
1.7516705,0.29358003,11,2.2014073800289418,0.9607567,0.013178967,0.039243255,1.0,135.78947368421052,It Almost Worked.wav,fearful
1.1225864,0.04831645,9,1.227962873960952,0.99539196,0.27072477,0.0046080546,1.0,98.54466671615201,SpotiDownloader.com - Bubble Gum - Clairo.wav,fearful
1.3498492,0.2457845,0,1.0963162500193269,0.99700475,0.037391394,0.0029952575,1.0,143.5510338037414,Everyone Adores You (at least I do).wav,fearful
1.233499,0.2030602,5,3.1358440455949967,0.98790944,0.2749536,0.012090577,1.0,126.7035429049034,welcome and goodbye.wav,fearful
0.9499,0.14450496,7,1.6488010033832807,0.99216366,0.4840894,0.007836343,1.0,143.07293011184058,SpotifyMate.com - Velvet Ring - 2023 Remaster - Big Thief.wav,fearful
1.2353187,0.3312951,9,1.461610724281751,0.99018973,0.6115176,0.00981029,1.0,88.71436881908086,Softcore.wav,fearful
1.6183783,0.28397298,6,1.0964347321398187,0.9924752,-0.39254427,0.007524807,1.0,127.25227378090455,SpotiDownloader.com - Tom Tom - Holy Fuck.wav,fearful
1.3214488,0.22276592,10,2.1487116732020564,0.98670924,-0.06938731,0.013290753,1.0,140.02781301098767,I Love You So.wav,fearful
1.2330809,0.2821938,2,1.4647184412046812,0.99192345,3.1896458,0.0080765225,1.0,103.28186892621672,Not Allowed.wav,fearful
1.6692327,0.33840683,4,1.4782216411818432,0.9840149,0.10132415,0.015985092,1.0,95.53587032506117,P*RNSTAR.wav,fearful
0.8536641,0.24636672,10,1.9737670022542408,0.99016976,-0.046421684,0.009830265,1.0,120.10879297994268,SpotiDownloader.com - As the World Caves In - Matt Maltese.wav,fearful
1.446952,0.17876878,7,1.9342696284146748,0.9856149,-0.1745557,0.014385105,1.0,88.68129489481787,Duvet.wav,fearful
1.1549551,0.29952052,11,1.116343590703223,0.9912982,0.0033041984,0.008701828,1.0,109.09792590246991,LABOUR - the cacophony.wav,fearful
1.4900055,0.2751577,7,1.7098651668099354,0.9812503,0.050676513,0.018749684,1.0,121.24591460363162,Sarah.wav,fearful
0.58505905,0.19179182,6,2.448090126810966,0.96971023,0.12301243,0.030289773,1.0,90.25099397285253,SpotifyMate.com - When the Sun Hits - Slowdive.wav,fearful
2.3765714,0.1410578,8,1.2864586923085335,0.9933676,0.44251668,0.0066323783,1.0,104.53067858594068,Misery Meat.wav,fearful
1.1224207,0.25050145,8,1.8158273833284466,0.98291564,-0.24455713,0.017084343,1.0,103.74123102056505,SpotiDownloader.com - icantbelieveiletyougetaway - aldn.wav,fearful
1.3104274,0.22211498,10,1.5164090111986117,0.99356335,0.7287381,0.006436619,1.0,133.17995161234444,Scott Street.wav,fearful
1.1628953,0.25999108,10,2.084149234396339,0.97085875,0.14297053,0.029141232,1.0,99.05660377358491,SpotiDownloader.com - Sleepwalker - akiaura.wav,fearful
0.842919,0.13963485,5,1.455838593618114,0.9953369,0.025120724,0.0046631014,1.0,122.7826648081249,"not a lot, just forever.wav",fearful
2.1412525,0.16799848,3,1.6441574993473531,0.98209685,0.055796117,0.017903144,1.0,101.34927149599837,Your Woman.wav,fearful
1.5361751,0.17951916,7,1.4513047689506338,0.98456943,0.002969092,0.015430541,1.0,167.40610856342605,You’re Gonna Go Far.wav,fearful
0.6455856,0.118683845,6,2.6282131015809522,0.9710676,0.013859095,0.02893238,1.0,90.44763420270213,When the Sun Hits.wav,fearful
0.7821393,0.2725707,11,2.6158006719033136,0.96816134,0.009967542,0.03183868,1.0,120.66908633736765,Cherry Waves.wav,fearful
0.73094636,0.19480754,1,2.263098590079576,0.98151433,-0.010955443,0.01848564,1.0,115.96474251093909,Casual.wav,fearful
2.0065956,0.21151859,2,1.510349647041266,0.99750066,-0.022763863,0.00249936,1.0,88.66727654740482,Fear.wav,fearful
1.9228153,0.29011258,1,1.2875868478804866,0.9896514,-0.019642573,0.010348642,1.0,99.49332105020729,Bags.wav,fearful
1.7774056,0.14765161,7,2.4922188074972933,0.9638702,0.0047953553,0.036129788,1.0,79.70164264163594,Creep.wav,fearful
1.7842599,0.23502243,4,1.919826301880511,0.9851273,0.043772247,0.014872759,1.0,132.70275285491468,Blue Hair.wav,fearful
1.4876246,0.17994475,8,2.2462526069112276,0.97141516,0.02796697,0.02858486,1.0,135.13071680654045,Again & Again.wav,fearful
1.3182695,0.2811183,4,2.1409714526337247,0.97076046,0.027102664,0.029239537,1.0,171.8541236487307,Hayloft II.wav,fearful
1.138746,0.1887187,6,1.3610159356853238,0.9920282,0.007078724,0.0079718195,1.0,134.0946736244699,Cinnamon Girl.wav,fearful
0.9756873,0.18343064,9,1.9113255523334445,0.9811347,0.53115255,0.018865297,1.0,75.76024752583241,Francis Forever.wav,fearful
1.2955042,0.14451528,10,2.284239153700522,0.98830485,0.0040556123,0.011695133,1.0,118.18521284540701,Vienna.wav,fearful
1.1698017,0.15587516,5,2.4262347238818265,0.9838294,0.010033914,0.016170602,1.0,119.55008894452497,I Can't Handle Change.wav,fearful
1.323767,0.21062838,4,2.105432164771268,0.9735821,-0.005074823,0.02641789,1.0,148.14466444057754,So Real.wav,fearful
0.520289,0.032756515,7,0.6320131414901163,0.9967325,-0.0022108862,0.003267545,1.0,114.5218353880882,SpotifyMate.com - Adieux - Ludovico Einaudi.wav,relaxing 
0.8808321,0.02377523,7,0.6105229405176096,0.99952114,0.0062929248,0.00047884244,1.0,116.11821824907521,Misterbianco.wav,relaxing 
